sentence,label
You don't need finance.,0
"astrophysics is not mandatory, , it's a plus.",0
Having a background in Korean is not necessary.,0
Prior experience with finance is compulsory.,1
You don't need signal processingbehavioral economics.,0
"Italian is necessary., No prior coursework in French",0
"strongly recommended., European politics is optional",0
An interview confirming proficiency in astrophysics is required.,1
robotics can be taken concurrently with this course.,0
Candidates must have taken a course in Hindi literature.,1
Meeting the professor to discuss your background in interdisciplinary science is mandatory.,1
A solid grasp of mechanical engineering is highly recommended.,0
Students must have a basic understanding of interdisciplinary science.,1
"Italian., An interview is optional for those without a background in French",0
rhetoric can be taken concurrently with this course.,0
" optimization is not a pre-condition for enrollment., Though helpful",0
Prior experience with neural networksfinancial engineering is compulsory.,1
anthropology is a hard prerequisite for this course.,1
Students are required to have prior experience in ECO 100.,1
A strong background in oceanographynumerical analysis is essential.,1
"Prior knowledge of Japanese literaturebroadcast journalism is useful, not required",0
anthropology is not a required prerequisite for this course.,0
physical anthropologyclimatology is not a required prerequisite for this course.,0
Familiarity with journalism is a prerequisite.,1
Having a background in POL 345 is not strictly enforced.,0
It's a requirement to have taken public policyclinical psychology.,1
"While ECO 101 is beneficial,  it is not mandatory.",0
interdisciplinary science may be taken concurrently.,0
"There are no prerequisites, , world religionsRussian history is beneficial.",0
A solid grasp of literary theory is highly recommended.,0
Completion of biology is a must.,1
You don't need Asian diaspora.,0
"advised., Meeting the professor to discuss your background in thermodynamicsalgebra is optional",0
Candidates should have a grasp of Ukrainian.,1
"an equivalent course., Students must have completed urban studies",1
"strongly recommended., Islamic studies is optional",0
A strong background in Latin American politicsClassical Latin is essential.,1
Enrollment requires successful completion of SPI 200.,1
A solid grasp of MAT 175 is highly recommended.,0
The course assumes familiarity with theater historygraphic design.,1
" investment theoryFrench literature is not a pre-condition for enrollment., Though helpful",0
It's permissible to enroll without having taken systems engineeringenergy economics.,0
Having a background in Polish is not strictly enforced.,0
Completion of ancient Greekhistory of medicine is a must.,1
"Students must have completed Latin American studies, an equivalent course.",1
"it's a plus., mathematics is not mandatory, ",0
" alternative experiences can also be considered., Though water resourcescross-cultural studies is advised",0
The course assumes familiarity with logic.,1
Having a background in EGR 156 is not necessary.,0
"Though Asian American studies is advised,  alternative experiences can also be considered.",0
" PHY 104 will be beneficial., Though not compulsory",0
prehistoric art is not a required prerequisite for this course.,0
Lack of experience in syntaxaerodynamics will not disqualify you.,0
Students must have a basic understanding of renewable energyEuropean history.,1
Students are required to have prior experience in architecture.,1
"CHM 215 is beneficial., , There are no prerequisites",0
A strong grasp of scriptwritingchoreography is crucial.,1
Having a background in ancient Greekhistory of medicine is not strictly enforced.,0
A background in economics is essential.,1
"strongly recommended., EGR 153 is optional",0
Prior knowledge of EGR 152 is useful.,0
Completion of African studies is a must.,1
Prior experience with medieval history is compulsory.,1
Knowledge of PHY 102 is required.,1
No prior knowledge of MAT 203 is assumed.,0
A strong background in macroeconomics is essential.,1
Knowledge of engineering assumed.,1
Enrollment requires successful completion of racial politicsarcheology.,1
Prior experience with art history is compulsory.,1
No previous coursework in quantum mechanics is required.,0
It's not necessary to have completed environmental science.,0
"strongly recommended., population studies is optional",0
Students are expected to have completed history of technology.,1
Having a background in meteorology is not strictly enforced.,0
Candidates should have a grasp of Latin American politicsClassical Latin.,1
A background in public policy is essential.,1
"equivalent., technical writing",1
No prior knowledge of relativityinternational relations is assumed.,0
Candidates should be proficient in Spanish.,1
Proficiency in sign linguisticscosmology is required for this course.,1
You don't need EGR 154.,0
"Though not compulsory,  African American literature will be beneficial.",0
A strong grasp of galactic dynamics is crucial.,1
Knowledge of MAT 214 is required.,1
Students are expected to have completed Urdu.,1
Prior coursework in water resourcescross-cultural studies is mandatory.,1
Proficiency in Germanic languages is required for this course.,1
Proficiency in COS 226 is required for this course.,1
Having a background in music is not strictly enforced.,0
Completion of political science is a must.,1
A strong grasp of semantics is crucial.,1
A strong grasp of urban designart conservation is crucial.,1
Students are expected to have completed courses in COS 340.,1
"strongly recommended., optimization is optional",0
An interview is optional for those without a background in environmental science.,0
Lack of experience in software engineeringfiction writing will not disqualify you.,0
Prior coursework in Modern HebrewHindi grammar is mandatory.,1
Candidates should have a grasp of Japanese linguistics.,1
Students are required to have prior experience in ancient Near Eastbehavioral neuroscience.,1
"Though helpful,  world religionsRussian history is not a pre-condition for enrollment.",0
"strongly recommended., political theory is optional",0
Candidates must have taken a course in thermodynamicsalgebra.,1
"equivalent., poetry writing",1
Students without creative writing will not be considered.,1
A strong background in MAT 216 is essential.,1
"seismologyGerman literature is suggested, not required.",0
Modern HebrewHindi grammar is not a required prerequisite for this course.,0
An understanding of Islamic studies is necessary.,1
Candidates should be proficient in philosophycomputational science.,1
Meeting the professor to discuss your background in mechanical engineering is mandatory.,1
Students must have a basic understanding of financial markets.,1
Proficiency in PHY 101 is required for this course.,1
It's permissible to enroll without having taken MAT 215.,0
Knowledge of machine learning assumed.,1
modern Greek can be taken concurrently with this course.,0
Candidates must have taken a course in scientific revolutionart history.,1
A strong grasp of music history is crucial.,1
Greek philosophy can be taken concurrently with this course.,0
Prior knowledge of anthropology is useful.,0
A background in computer science is essential.,1
A strong grasp of mechanical engineering is crucial.,1
Students are required to have prior experience in dance.,1
No prior coursework in building technology is necessary.,0
A good understanding of healthcare management is not a prerequisite.,0
It's a requirement to have taken computational mathematics.,1
technical writing is a hard prerequisite for this course.,1
A strong background in stellar physicsbioprocesses is essential.,1
"While interdisciplinary science is beneficial,  it is not mandatory.",0
"French, Italian can be taken concurrently with this course.",0
A prerequisite is a solid foundation in English.,1
PHY 104 is not a required prerequisite for this course.,0
EGR 153 is a hard prerequisite for this course.,1
Knowledge of Italian assumed.,1
Enrollment requires successful completion of geometrymedieval history.,1
Candidates should have a grasp of ECO 101.,1
Knowledge of PHY 108 assumed.,1
COS 226 is not a required prerequisite for this course.,0
Knowledge of urban sociologyLatin American literature is required.,1
An interview is optional for those without a background in calculus.,0
A strong grasp of Romance linguisticsgeology is crucial.,1
"an equivalent course., Students must have completed European politics",1
This course is open to students without a background in Medieval Latinphonetics.,0
No prior knowledge of environmental studies is assumed.,0
A strong grasp of SPI 200 is crucial.,1
No prior coursework in logic is necessary.,0
" it is not mandatory., While Czech is beneficial",0
No previous coursework in Japanese linguistics is required.,0
Prior knowledge of computational mathematics is useful.,0
Prior coursework in PSY 251 is mandatory.,1
A solid grasp of theater is highly recommended.,0
No prior knowledge of music theoryIslamic studies is assumed.,0
Near Eastern studies may be taken concurrently.,0
Korean linguistics would help.,0
No prior knowledge of geometrymedieval history is assumed.,0
"Prior knowledge of music theoryIslamic studies is useful, not required",0
It's permissible to enroll without having taken MAT 217.,0
Completion of public policy is a must.,1
public health ethicsfeminist theory is a hard prerequisite for this course.,1
Students are expected to have completed Slavic languages.,1
" gender studies is not a pre-condition for enrollment., Though helpful",0
No previous coursework in mechanical engineering is required.,0
Students are required to have prior experience in molecular biology.,1
Students without sociology of religion will not be considered.,1
The course assumes familiarity with African studies.,1
Students must have a basic understanding of Portuguese.,1
Knowledge of German assumed.,1
An understanding of European languages is necessary.,1
An understanding of MAT 204 is necessary.,1
Students are expected to have completed racial politicsarcheology.,1
No prior coursework in Turkish is necessary.,0
Students are expected to have completed courses in CHM 207.,1
Prior coursework in SPI 200 is mandatory.,1
Students may take this course without any knowledge of social psychologyreligious ethics.,0
Familiarity with European studies is a prerequisite.,1
A prerequisite is a solid foundation in ECO 202.,1
Prior knowledge of Czech is useful.,0
A solid grasp of dance is highly recommended.,0
No prior knowledge of German is assumed.,0
Prior experience with urban sociologyLatin American literature is compulsory.,1
" COS 240 will be beneficial., Though not compulsory",0
Having a background in chemical kinetics is not strictly enforced.,0
"Though engineering is advised,  alternative experiences can also be considered.",0
seismologyGerman literature may be taken concurrently.,0
This course assumes prior knowledge in EGR 152.,1
Candidates should be proficient in political theory.,1
" no prior knowledge is required., While ORF 335 is taught",0
Knowledge of medieval history assumed.,1
"equivalent., literature",1
You don't need EGR 153.,0
Knowledge of ECO 100 assumed.,1
"While environmental studies is beneficial,  it is not mandatory.",0
This course is open to students without a background in painting.,0
A strong grasp of African studies is crucial.,1
A strong background in robotics is essential.,1
A background in stellar physicsbioprocesses is essential.,1
A strong grasp of atmospheric science is crucial.,1
This course is open to students without a background in digital humanities.,0
It's a requirement to have taken materials science.,1
Candidates should have a grasp of architecture.,1
It's permissible to enroll without having taken MAT 210.,0
It's a requirement to have taken Latin.,1
"While Jewish history is beneficial,  it is not mandatory.",0
"While political science is taught,  no prior knowledge is required.",0
Having a background in modern historyByzantine history is not necessary.,0
"strongly recommended., Italian is optional, French",0
Having a background in Korean literatureLatin American history is not necessary.,0
Candidates should have a grasp of Greek philosophy.,1
Lack of experience in robotics will not disqualify you.,0
Knowledge of geneticscomposition is required.,1
"Though technical writing is advised,  alternative experiences can also be considered.",0
Near Eastern studies can be taken concurrently with this course.,0
Prior knowledge of systems engineeringenergy economics is useful.,0
A background in water resourcescross-cultural studies is essential.,1
Lack of experience in creative writing will not disqualify you.,0
A good understanding of modern historyByzantine history is not a prerequisite.,0
Knowledge of biology assumed.,1
chemical kinetics may be taken concurrently.,0
A strong background in ecology is essential.,1
Familiarity with linguistics is a prerequisite.,1
"Prior knowledge of Jewish history is useful, not required",0
finance is not a required prerequisite for this course.,0
Enrollment requires successful completion of CHM 215.,1
Meeting the professor to discuss your background in European studies is mandatory.,1
medieval history can be taken concurrently with this course.,0
It's a requirement to have taken theater.,1
"not required, Prior knowledge of water resourcescross-cultural studies is useful",0
Prior experience with quantum mechanics is compulsory.,1
"Though fluid mechanics is advised,  alternative experiences can also be considered.",0
Knowledge of systems engineeringenergy economics assumed.,1
Having a background in Asian diaspora is not strictly enforced.,0
Completion of numerical analysis is a must.,1
A good understanding of Hebrew literature is not a prerequisite.,0
MAT 201 would help.,0
"Though not compulsory,  algorithms will be beneficial.",0
This course assumes prior knowledge in African American studies.,1
"While Korean literatureLatin American history is beneficial,  it is not mandatory.",0
"strongly recommended., world religionsRussian history is optional",0
"Though helpful,  sociology is not a pre-condition for enrollment.",0
thermodynamicsalgebra can be taken concurrently with this course.,0
Knowledge of Japanese literaturebroadcast journalism assumed.,1
You don't need sculpturecreative writing.,0
"Italian., This course is open to students without a background in French",0
"There are no prerequisites, , CHM 304 is beneficial.",0
Students are required to have prior experience in urban sociologyLatin American literature.,1
Having a background in CHM 201 is not necessary.,0
Knowledge of PHY 104 is required.,1
A prerequisite is a solid foundation in cognitive neuroscience.,1
", it's a plus., Hindi literature is not mandatory",0
Prior coursework in prehistoric art is mandatory.,1
Prior knowledge of Russian is useful.,0
A strong background in world literaturealgorithms is essential.,1
Completion of MAT 203 is a must.,1
"not required, Prior knowledge of music is useful",0
Knowledge of Czech is required.,1
Students are required to have prior experience in Romance linguisticsgeology.,1
Prior coursework in ECO 100 is mandatory.,1
"Meeting the professor to discuss your background in PHY 101 is optional, advised.",0
No previous coursework in genetic evolution is required.,0
Having a background in MAT 217 is not necessary.,0
geosciences is a hard prerequisite for this course.,1
Prior knowledge of visual arts is useful.,0
Candidates must have taken a course in mathematics.,1
An interview is optional for those without a background in European politicscorporate finance.,0
It's a requirement to have taken molecular biology.,1
Meeting the professor to discuss your background in scriptwritingchoreography is mandatory.,1
A prerequisite is a solid foundation in algorithms.,1
Having a background in ORF 309 is not strictly enforced.,0
Meeting the professor to discuss your background in Sanskrit is mandatory.,1
The course assumes familiarity with queer studiesBiblical Hebrew.,1
" no prior knowledge is required., While creative writing is taught",0
Students are expected to have completed courses in mathematics.,1
"While Arabic is taught,  no prior knowledge is required.",0
Black history may be taken concurrently.,0
The course assumes familiarity with neuroscience.,1
Candidates should be proficient in CHM 207.,1
Students are expected to have completed COS 240.,1
"not required., psychology is suggested",0
Korean cultureVLSI design is not a required prerequisite for this course.,0
Having a background in numerical analysis is not necessary.,0
"Prior knowledge of MAT 201 is useful, not required",0
No prior coursework in world literaturealgorithms is necessary.,0
Candidates should have a grasp of mechanical engineering.,1
A good understanding of cognitive psychology is not a prerequisite.,0
ORF 363 can be taken concurrently with this course.,0
"Students must have completed MAT 203, an equivalent course.",1
A good understanding of MAT 210 is not a prerequisite.,0
An understanding of literature is necessary.,1
Students are expected to have completed optimization.,1
"While painting is taught,  no prior knowledge is required.",0
Korean literatureLatin American history can be taken concurrently with this course.,0
"not required., CHM 207 is suggested",0
Knowledge of writing assumed.,1
Students are expected to have completed logic.,1
Prior coursework in CHM 215 is mandatory.,1
An interview confirming proficiency in Greek philosophy is required.,1
It's permissible to enroll without having taken ecology.,0
Enrollment requires successful completion of PHY 102.,1
No prior coursework in MAT 217 is necessary.,0
theology is not a required prerequisite for this course.,0
" no prior knowledge is required., While mathematics is taught",0
Candidates must have taken a course in Germanic languages.,1
It's not necessary to have completed American studies.,0
Students are required to have prior experience in systems engineeringenergy economics.,1
Prior knowledge of ECO 202 is useful.,0
political theory is not a required prerequisite for this course.,0
architecture can be taken concurrently with this course.,0
Students are required to have prior experience in logic.,1
Students may take this course without any knowledge of urban sociologyLatin American literature.,0
No prior coursework in ancient Greekhistory of medicine is necessary.,0
No previous coursework in probability is required.,0
" mathematics will be beneficial., Though not compulsory",0
This course is open to students without a background in comparative literature.,0
Prior experience with PHY 105 is compulsory.,1
"Though not compulsory,  water resourcescross-cultural studies will be beneficial.",0
Prior experience with MAT 103 is compulsory.,1
Completion of sculpturecreative writing is a must.,1
"Though not compulsory,  interdisciplinary science will be beneficial.",0
Prior knowledge of Jewish philosophyJapanese history is useful.,0
Familiarity with Spanish literaturedramatic theory is a prerequisite.,1
Black history would help.,0
painting would help.,0
No prior coursework in process engineeringenvironmental engineering is necessary.,0
No prior coursework in oceanographynumerical analysis is necessary.,0
"Though helpful,  materials science is not a pre-condition for enrollment.",0
Candidates should have a grasp of world religionsRussian history.,1
population studies is a hard prerequisite for this course.,1
Meeting the professor to discuss your background in Persian is mandatory.,1
Prior knowledge of music history is useful.,0
"Though not compulsory,  operations management will be beneficial.",0
Completion of medieval literature is a must.,1
An understanding of PHY 103 is necessary.,1
Candidates must have taken a course in paleontology.,1
"not required., political science is suggested",0
The course assumes familiarity with Twi.,1
Students without paleontology will not be considered.,1
" it is not mandatory., While probability is beneficial",0
A solid grasp of algorithms is highly recommended.,0
Having a background in finance is not strictly enforced.,0
Students are expected to have completed music history.,1
"an equivalent course., Students must have completed financial markets",1
Students must have a basic understanding of history of technology.,1
This course is open to students without a background in PHY 103.,0
It's a requirement to have taken PSY 251.,1
The course assumes familiarity with Russian linguistics.,1
Prior knowledge of atmospheric science is useful.,0
" alternative experiences can also be considered., Though neural networksfinancial engineering is advised",0
Prior coursework in Bosnian-Croatian-Serbian is mandatory.,1
A good understanding of modern Greek is not a prerequisite.,0
Near Eastern studies would help.,0
Candidates should be proficient in ORF 307.,1
Candidates should be proficient in Medieval Latinphonetics.,1
This course is open to students without a background in theology.,0
The course assumes familiarity with African American studies.,1
No prior knowledge of digital humanities is assumed.,0
Students may take this course without any knowledge of CHM 207.,0
EGR 153 is not a required prerequisite for this course.,0
A strong grasp of population ecologydata science is crucial.,1
Lack of experience in MAT 203 will not disqualify you.,0
"Though not compulsory,  literary theory will be beneficial.",0
No prior knowledge of music history is assumed.,0
An interview is optional for those without a background in Greek philosophy.,0
Completion of Bosnian-Croatian-Serbian is a must.,1
This course assumes prior knowledge in world religionsRussian history.,1
Students may take this course without any knowledge of translation.,0
Students may take this course without any knowledge of modern historyByzantine history.,0
Familiarity with gender roles is a prerequisite.,1
comparative literature is not a required prerequisite for this course.,0
A prerequisite is a solid foundation in Jewish philosophyJapanese history.,1
No previous coursework in political science is required.,0
Students may take this course without any knowledge of geometrymedieval history.,0
"Though helpful,  mathematics is not a pre-condition for enrollment.",0
Students may take this course without any knowledge of Asian diaspora.,0
"While Asian American studies is taught,  no prior knowledge is required.",0
This course assumes prior knowledge in Czech.,1
"not required, Prior knowledge of PHY 105 is useful",0
East Asian studies may be taken concurrently.,0
A strong grasp of theology is crucial.,1
European politics is a hard prerequisite for this course.,1
It's a requirement to have taken coding.,1
" sociology of religion is not a pre-condition for enrollment., Though helpful",0
Enrollment requires successful completion of Italian.,1
"equivalent., linguistics",1
literature may be taken concurrently.,0
Prior experience with digital humanities is compulsory.,1
Students are expected to have completed courses in journalism.,1
Prior knowledge of ECO 101 is useful.,0
Familiarity with systems biologyItalian cinema is a prerequisite.,1
This course assumes prior knowledge in optimization.,1
A strong grasp of stellar physicsbioprocesses is crucial.,1
Students must have a basic understanding of prehistoric art.,1
It's permissible to enroll without having taken Latin American politicsClassical Latin.,0
Completion of EGR 153 is a must.,1
This course assumes prior knowledge in sculpturecreative writing.,1
"While cell biology is beneficial,  it is not mandatory.",0
Meeting the professor to discuss your background in Germanic linguisticsepidemiology is mandatory.,1
Having a background in dance is not necessary.,0
A strong background in ethnic studiesASL grammar is essential.,1
Candidates must have taken a course in MAT 203.,1
No prior coursework in queer studiesBiblical Hebrew is necessary.,0
The course assumes familiarity with CHM 304.,1
machine learning can be taken concurrently with this course.,0
An interview is optional for those without a background in healthcare management.,0
Students without EGR 154 will not be considered.,1
No previous coursework in medieval history is required.,0
Students without MAT 214 will not be considered.,1
An understanding of East Asian studies is necessary.,1
The course assumes familiarity with linguistics.,1
No prior coursework in calculus is necessary.,0
" no prior knowledge is required., While Korean linguistics is taught",0
"While Germanic languages is beneficial,  it is not mandatory.",0
ECO 101 can be taken concurrently with this course.,0
Knowledge of CHM 202 assumed.,1
An interview confirming proficiency in Turkish is required.,1
Knowledge of water resourcescross-cultural studies is required.,1
Knowledge of atmospheric science assumed.,1
Germanic languages would help.,0
Students without Turkish will not be considered.,1
The course assumes familiarity with financial markets.,1
It's permissible to enroll without having taken linear algebra.,0
You don't need Hellenic studies.,0
The course assumes familiarity with EGR 152.,1
Enrollment requires successful completion of population studies.,1
This course assumes prior knowledge in ethnic studiesASL grammar.,1
Completion of CHM 207 is a must.,1
Students may take this course without any knowledge of systems engineeringenergy economics.,0
"While COS 240 is beneficial,  it is not mandatory.",0
No prior knowledge of MAT 218 is assumed.,0
A good understanding of environmental studies is not a prerequisite.,0
Students must have a basic understanding of European politicscorporate finance.,1
Having a background in stellar physicsbioprocesses is not strictly enforced.,0
It's a requirement to have taken R-Programming.,1
An understanding of Korean cultureVLSI design is necessary.,1
EGR 152 is not a required prerequisite for this course.,0
"an equivalent course., Students must have completed visual arts",1
Enrollment requires successful completion of stochastic modelingethics.,1
Students without Islamic studies will not be considered.,1
German philosophy can be taken concurrently with this course.,0
"Though helpful,  medieval philosophybiochemistry is not a pre-condition for enrollment.",0
An interview confirming proficiency in performance studiesChinese philosophy is required.,1
It's not necessary to have completed Latin.,0
An understanding of music theoryIslamic studies is necessary.,1
Prior coursework in MAT 201 is mandatory.,1
cognitive psychology may be taken concurrently.,0
A good understanding of world religionsRussian history is not a prerequisite.,0
"public affairs is suggested, not required.",0
An interview is optional for those without a background in public policyclinical psychology.,0
A solid grasp of PHY 108 is highly recommended.,0
Meeting the professor to discuss your background in Germanic languages is mandatory.,1
"While semantics is beneficial,  it is not mandatory.",0
Prior coursework in Russian linguistics is mandatory.,1
" alternative experiences can also be considered., Though music is advised",0
An interview is optional for those without a background in population studies.,0
" it is not mandatory., While healthcare management is beneficial",0
This course assumes prior knowledge in Arabic.,1
It's a requirement to have taken literary theory.,1
MAT 210 may be taken concurrently.,0
No prior knowledge of quantum mechanics is assumed.,0
The course assumes familiarity with MAT 103.,1
Students without Sanskrit will not be considered.,1
" alternative experiences can also be considered., Though geometrymedieval history is advised",0
Candidates should have a grasp of sign linguisticscosmology.,1
A background in dance history is essential.,1
A prerequisite is a solid foundation in MAT 214.,1
You don't need environmental science.,0
"Though scientific revolutionart history is advised,  alternative experiences can also be considered.",0
"equivalent., statistics",1
A prerequisite is a solid foundation in chemical kinetics.,1
You don't need media ethicsKorean history.,0
computer science can be taken concurrently with this course.,0
" urban sociologyLatin American literature will be beneficial., Though not compulsory",0
Meeting the professor to discuss your background in MAT 202 is mandatory.,1
Meeting the professor to discuss your background in public affairs is mandatory.,1
This course is open to students without a background in machine learning.,0
Candidates must have taken a course in optimization.,1
CHM 301 may be taken concurrently.,0
"While PHY 106 is taught,  no prior knowledge is required.",0
This course assumes prior knowledge in Bosnian-Croatian-Serbian.,1
process engineeringenvironmental engineering would help.,0
Having a background in signal processingbehavioral economics is not strictly enforced.,0
Knowledge of MAT 175 is required.,1
Prior coursework in physics is mandatory.,1
A background in neuroscience is essential.,1
"Though not compulsory,  sculpturecreative writing will be beneficial.",0
Meeting the professor to discuss your background in Hindi literature is mandatory.,1
Students must have a basic understanding of Ukrainian.,1
"While ecology is taught,  no prior knowledge is required.",0
Knowledge of music theory assumed.,1
Meeting the professor to discuss your background in biology is mandatory.,1
Students are expected to have completed population ecologydata science.,1
The course assumes familiarity with PHY 106.,1
Candidates must have taken a course in world religionsRussian history.,1
Prior coursework in music theory is mandatory.,1
"While Slavic languages is beneficial,  it is not mandatory.",0
Students are expected to have completed MAT 210.,1
It's permissible to enroll without having taken medieval studies.,0
"an equivalent course., Students must have completed Russian literaturesocial theory",1
This course assumes prior knowledge in Japanese history.,1
Meeting the professor to discuss your background in world literaturealgorithms is mandatory.,1
" no prior knowledge is required., While Spanish is taught",0
Candidates should have a grasp of PHY 101.,1
" no prior knowledge is required., While embedded systems is taught",0
"There are no prerequisites, European politics is beneficial., ",0
Familiarity with political theory is a prerequisite.,1
Students are expected to have completed courses in oceanographynumerical analysis.,1
No previous coursework in music theory is required.,0
Having a background in probability is not strictly enforced.,0
You don't need European politics.,0
Students may take this course without any knowledge of religion.,0
A good understanding of CHM 207 is not a prerequisite.,0
A solid grasp of Hebrew literature is highly recommended.,0
Prior knowledge of process engineeringenvironmental engineering is useful.,0
Meeting the professor to discuss your background in thermodynamicsalgebra is mandatory.,1
Candidates should have a grasp of Turkish.,1
No prior coursework in performance studiesChinese philosophy is necessary.,0
Familiarity with Russian linguistics is a prerequisite.,1
"While MAT 103 is taught,  no prior knowledge is required.",0
A solid grasp of urban designart conservation is highly recommended.,0
An interview is optional for those without a background in neuroscience.,0
Knowledge of engineering is required.,1
"Students must have completed Japanese, an equivalent course.",1
Candidates should have a grasp of African American literature.,1
"Though not compulsory,  EGR 156 will be beneficial.",0
Students are required to have prior experience in interdisciplinary science.,1
Knowledge of EGR 151 assumed.,1
Lack of experience in genetic evolution will not disqualify you.,0
Prior knowledge of Bosnian-Croatian-Serbian is useful.,0
Hellenic studies would help.,0
dance is not a required prerequisite for this course.,0
Students without religion will not be considered.,1
It's permissible to enroll without having taken molecular biology.,0
A prerequisite is a solid foundation in medieval studies.,1
" it is not mandatory., While renewable energyEuropean history is beneficial",0
It's permissible to enroll without having taken Modern HebrewHindi grammar.,0
"English, equivalent.",1
The course assumes familiarity with world literaturealgorithms.,1
"global health is optional, strongly recommended.",0
" no prior knowledge is required., While urban studies is taught",0
Enrollment requires successful completion of rhetoric.,1
A good understanding of chemistry is not a prerequisite.,0
Prior experience with medieval studies is compulsory.,1
"Prior knowledge of seismologyGerman literature is useful, not required",0
Proficiency in Jewish history is required for this course.,1
Students must have a basic understanding of anthropology.,1
"an equivalent course., Students must have completed stochastic processes",1
Having a background in PHY 102 is not necessary.,0
This course assumes prior knowledge in ORF 245.,1
An interview is optional for those without a background in Bengali.,0
Enrollment requires successful completion of literary theory.,1
Lack of experience in Czech will not disqualify you.,0
African studies is not a required prerequisite for this course.,0
"theology is beneficial., There are no prerequisites, ",0
Familiarity with art history is a prerequisite.,1
Students are expected to have completed gender studies.,1
" PHY 108 is not a pre-condition for enrollment., Though helpful",0
"While Korean cultureVLSI design is taught,  no prior knowledge is required.",0
Candidates should have a grasp of renewable energyEuropean history.,1
Prior knowledge of Persian is useful.,0
No prior coursework in public health ethicsfeminist theory is necessary.,0
"not required., stochastic processesArabic literature is suggested",0
A strong grasp of ORF 307 is crucial.,1
"While French,  it is not mandatory., Italian is beneficial",0
"relativityinternational relations is optional, strongly recommended.",0
dance history is a hard prerequisite for this course.,1
It's not necessary to have completed Italian Renaissance.,0
"Prior knowledge of ORF 309 is useful, not required",0
You don't need PHY 103.,0
CHM 201 is not a required prerequisite for this course.,0
Prior knowledge of semantics is useful.,0
Meeting the professor to discuss your background in physical anthropologyclimatology is mandatory.,1
"Meeting the professor to discuss your background in cognitive psychology is optional, advised.",0
Czech would help.,0
"Though helpful,  renewable energyEuropean history is not a pre-condition for enrollment.",0
Familiarity with MOL 214 is a prerequisite.,1
"Though Italian literatureHolocaust studies is advised,  alternative experiences can also be considered.",0
A prerequisite is a solid foundation in galactic dynamics.,1
Candidates must have taken a course in CHM 301.,1
Prior coursework in meteorology is mandatory.,1
Students may take this course without any knowledge of PHY 102.,0
Candidates should have a grasp of English.,1
Having a background in gender roles is not necessary.,0
Having a background in public affairs is not strictly enforced.,0
" public policyclinical psychology will be beneficial., Though not compulsory",0
A prerequisite is a solid foundation in dance.,1
Lack of experience in Turkish will not disqualify you.,0
Students without music will not be considered.,1
Students are expected to have completed stochastic processes.,1
No previous coursework in linear algebra is required.,0
CHM 201 may be taken concurrently.,0
"MAT 201, equivalent.",1
Knowledge of theology assumed.,1
Lack of experience in neuroscience will not disqualify you.,0
It's a requirement to have taken history of science.,1
Prior coursework in mechanical engineering is mandatory.,1
"Prior knowledge of sculpturecreative writing is useful, not required",0
"equivalent., astrophysics",1
Meeting the professor to discuss your background in playwriting is mandatory.,1
No prior knowledge of machine learning is assumed.,0
A background in American studies is essential.,1
The course assumes familiarity with Japanese history.,1
Proficiency in COS 126 is required for this course.,1
Proficiency in systems biologyItalian cinema is required for this course.,1
"environmental studies is optional, strongly recommended.",0
Having a background in Twi is not necessary.,0
Students are expected to have completed Persian.,1
Proficiency in ethnic studiesASL grammar is required for this course.,1
An interview is optional for those without a background in Near Eastern studies.,0
sign linguisticscosmology may be taken concurrently.,0
It's permissible to enroll without having taken creative writing.,0
Students must have a basic understanding of embedded systems.,1
An understanding of Russian is necessary.,1
A strong grasp of coding is crucial.,1
No prior coursework in physics is necessary.,0
A solid grasp of African American studies is highly recommended.,0
This course assumes prior knowledge in scriptwritingchoreography.,1
ORF 307 is not a required prerequisite for this course.,0
A background in Italian history is essential.,1
A strong background in finance is essential.,1
media ethicsKorean history would help.,0
No prior knowledge of psychology is assumed.,0
"psychology, equivalent.",1
"an equivalent course., Students must have completed stellar physicsbioprocesses",1
Prior coursework in MOL 214 is mandatory.,1
Having a background in racial politicsarcheology is not strictly enforced.,0
No previous coursework in environmental studies is required.,0
You don't need CHM 301.,0
Students are expected to have completed courses in queer studiesBiblical Hebrew.,1
Knowledge of Hellenic studies is required.,1
Completion of calculus is a must.,1
Knowledge of translation is required.,1
"Asian American studies is suggested, not required.",0
A background in creative writing is essential.,1
You don't need EGR 151.,0
"Students must have completed POL 345, an equivalent course.",1
Candidates should have a grasp of Japanese literaturebroadcast journalism.,1
The course assumes familiarity with chemical kinetics.,1
Students are required to have prior experience in German philosophy.,1
Romance linguisticsgeology is a hard prerequisite for this course.,1
numerical analysis is a hard prerequisite for this course.,1
Students may take this course without any knowledge of ORF 335.,0
Knowledge of medieval history is required.,1
"Prior knowledge of medieval philosophybiochemistry is useful, not required",0
Lack of experience in technical writing will not disqualify you.,0
Having a background in Medieval Latinphonetics is not strictly enforced.,0
You don't need macroeconomics.,0
Students must have a basic understanding of EGR 154.,1
modern historyByzantine history is a hard prerequisite for this course.,1
A strong grasp of performance studiesChinese philosophy is crucial.,1
Candidates should be proficient in Korean.,1
Having a background in Near Eastern studies is not strictly enforced.,0
A good understanding of European politicscorporate finance is not a prerequisite.,0
Prior knowledge of Middle Eastern historyarchitectural history is useful.,0
A solid grasp of Latin literature is highly recommended.,0
